id,C_eqas,A_loas,A_colo,A_inlo,A_relo,A_lolo,A_allo,M_exas,NI_TA,E_exas,OI_TA,E_inex,E_opinopex,NI_TA2,E_ineq,E_exde,E_itin,L_caas,L_feas,L_lode
0,0.07724561982613808,0.8256370656539643,0.006626339734903206,0.006626339734903206,0.006626339734903206,0.007023920118997399,0.012119429595663797,1.2563295278014361,0.004309446766149175,0.01964506051980442,0.0034301882354788424,0.9772998018080766,0.17460817858111602,0.004309446766149175,0.05578888195665641,0.018899067709330433,3.101412799729498,0.021118212740746836,0.06357740990429911,1.1671808823702179
1,0.0418703537616557,0.8536214509671505,0.0083603652148602,0.0083603652148602,0.0083603652148602,0.012122529461883377,0.0248720867135202,1.276978499015955,0.002533488551406237,0.026912070096084404,0.001983971189302368,1.032227933061733,0.07372049724227746,0.002533488551406237,0.060507932792446845,0.016462139666272697,7.44244614033395,0.007136587085324257,0.007136587085324257,0.9196961288706853
2,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
3,0.06991444327661678,0.7991663920427948,0.0016335091103733838,0.0016335091103733838,0.0016335091103733838,0.0016335091103733838,0.010353180448674658,1.0255814052926207,0.0023028060049671254,0.018042563519762952,0.0022453663776305357,1.8246038184905662,0.12444830110594149,0.0023028060049671254,0.03293748611937113,0.01065163964831276,4.338953706955565,0.027332114511162003,0.02823809375261342,0.9842581554557475
4,0.09611466008649373,0.6278476586793226,0.1270489745427323,0.8669986716756515,0.0045646884828344884,0.009147635719600316,0.020728250400551415,1.3660130718954249,0.002395916624394214,0.01924471307752051,0.001753948533647439,1.8143475126171595,0.09113924050632911,0.002395916624394214,0.02492769180308316,0.008897584757994676,6.959150326797387,0.03136472671934244,0.03664376789414405,0.7026750489142638
5,0.10118181330496376,0.6469781089634333,0.4251465695629928,0.5877082717709968,0.012854792296813456,0.013047614176955446,0.022264500172262315,0.8959778045857233,0.01074526578531705,0.023328537697206306,0.011992781216589823,1.0326327018467611,0.5140819957191749,0.01074526578531705,0.10619760048113222,0.01944587924289159,1.4278778942211319,0.0798326674689946,0.13612056253813928,0.8366890547366754
6,0.11557634745086673,0.662034074952269,0.006179266400953267,0.006179266400953267,0.006179266400953267,0.007075260029091491,0.01915572584295513,0.9054248723787337,0.004445642364638008,0.021039719755728846,0.004910006893181992,1.270933204803577,0.23336845500734676,0.004445642364638008,0.03846498407927209,0.015523711429340272,2.342630710254942,0.09471142711669821,0.17289898460922778,0.838545051515478
7,0.06332425686315887,0.8056371275210686,0.4677740496041002,0.5368554514989192,0.0046295011030195255,0.005249854266277417,0.01228599689913542,0.9153660301780475,0.005027353164262964,0.021895721354466748,0.005492177990573996,1.3183804540877035,0.25083338893758744,0.005027353164262964,0.0793906381740392,0.016472538436567475,2.0691220400149297,0.03084794742541989,0.031127227196316595,1.0821087200522912
8,0.18307209046204617,1.3742473132422177,0.005610286918541406,0.005610286918541406,0.005610286918541406,0.005610286918541406,0.5028051434587097,0.9458367004997917,0.00902060843124382,0.02243587241998176,0.009537173199641355,0.9932642428006118,0.4250859080098615,0.00902060843124382,0.04927353158243386,0.024364688493200344,1.6063055642708177,0.023692589105885863,0.023692589105885863,2.2501863212396023
9,0.0902788553306791,0.695902226652927,0.9888494826136126,0.02981906798756614,0.01866851388178014,0.01948569072494022,0.03119109206647332,0.9324080338888451,0.014893475090077242,0.027805207088996687,0.015973130377223598,0.9182701745992259,0.5744654346971083,0.014893475090077242,0.16497190882100224,0.018076084905137037,1.5457182512794292,0.08015322914689091,0.08015322914689091,0.795147214512663
